Date,BTC_pd_T0,BTC_v_T0,BTC_pd_T1,BTC_rpd_T1,BTC_v_T1,BTC_s_T1,BTC_pd_T2,BTC_v_T2,BTC_s_T2,BTC_dl_m3,BTC_do_m3,BTC_dp_m3,BTC_log_v_T0,BTC_log_v_T1,BTC_log_v_T2,BTC_log_s_T2,BTC_cbrt_rpd_T0,BTC_cbrt_hl_T0,BTC_cbrt_pd_T1,BTC_cbrt_dv_T1,BTC_cbrt_hl_T1,BTC_cbrt_pd_T2,BTC_cbrt_dl_m3,BTC_cbrt_do_m3,BTC_cbrt_dp_m3
2010-06-09,5e-05,3600.0,0.00045,0.0989010989011,10000.0,50.0,0.00045,900.0,4.5,0.000202666666667,0.000186,-8.67361737988e-19,8.18896686365,9.21044036698,6.80350525761,1.70474809224,0.222323925771,0.0368403149864,0.0766309432394,18.5663553345,0.0766309432394,0.0766309432394,0.0587391207661,0.0570826747338,-9.53674316406e-07
2010-06-10,0.0,10000.0,0.0,-0.005,900.0,4.5,-2.5e-05,5000.0,24.875,0.000486,0.000469333333333,-8.33333333333e-06,9.21044036698,6.80350525761,8.51739317142,3.25327725159,0.0,0.0,0.0,-20.8775947866,0.0,-0.0292401773821,0.0786222418263,0.0777130224434,-0.0202740066519
2010-06-14,0.0,900.0,-2.5e-05,-0.005,5000.0,24.875,-2.5e-05,4000.0,19.9,0.00015,0.000133333333333,-8.33333333333e-06,6.80350525761,8.51739317142,8.29429960886,3.03974915897,0.0,0.0,-0.0292401773821,16.0052066388,-0.0292401773821,-0.0292401773821,0.0531329284591,0.0510872954929,-0.0202740066519
2010-06-18,0.0,5000.0,0.0,0.00502512562814,4000.0,19.9,2.5e-05,13700.0,68.1575,-1.66666666667e-05,-1.66666666667e-05,-8.67361737988e-19,8.51739317142,8.29429960886,9.52522410185,4.2363865121,0.0,0.0,0.0,-10.0,0.0,0.0292401773821,-0.0255436477465,-0.0255436477465,-9.53674316406e-07
2010-06-22,0.0,4000.0,2.5e-05,0.00502512562814,13700.0,68.1575,2.5e-05,13000.0,67.6,-8.33333333334e-06,-8.33333333334e-06,-1.30104260698e-18,8.29429960886,9.52522410185,9.47278155656,4.22829253473,0.0,0.0,0.0292401773821,21.3267123551,0.0292401773821,0.0292401773821,-0.0202740066519,-0.0202740066519,-1.09168457275e-06
2010-06-23,3.7e-05,13700.0,3.7e-05,-0.113439451944,13000.0,67.6,-0.000563,10000.0,44.0,-1.66666666667e-05,-2.03333333333e-05,1.66666666667e-05,9.52522410185,9.47278155656,9.21044036698,3.80666248977,0.195352579256,0.0368403149864,0.0333222185165,-8.87904001743,0.0766309432394,-0.0825726326993,-0.0255436477465,-0.0272941470335,0.0255436477465
2010-06-24,-5e-05,13000.0,-0.00065,0.148514851485,10000.0,44.0,0.00075,61300.0,312.63,2.5e-05,5.83333333333e-05,0.000125,9.47278155656,9.21044036698,11.023551435,5.74821394717,-0.21473007481,0.0736806299728,-0.0866239105341,-14.4224957031,-0.0843432665302,0.0908560296416,0.0292401773821,0.0387827795242,0.05
2010-06-26,0.0,10000.0,0.0014,0.227272727273,61300.0,312.63,0.001,2500.0,13.5,-0.000383333333333,-0.0004,-7.5e-05,9.21044036698,11.023551435,7.82444593088,2.67414864943,0.0,0.0,0.111868894208,37.1568698889,0.111868894208,0.1,-0.0726427363711,-0.0736806299728,-0.0421716332651
2010-06-28,0.000755,61300.0,0.000355,0.308225966303,2500.0,13.5,0.001555,31300.0,189.365,-0.0002,-2.16666666667e-05,0.0004,11.023551435,7.82444593088,10.3514053249,5.24894328193,0.530919398492,0.111868894208,0.0708069875109,-38.8859257001,0.1,0.115853759431,-0.0584803547643,-0.0278781553579,0.0736806299728
2010-06-30,0.0,2500.0,0.0012,0.0185185185185,31300.0,189.365,0.0001,100.0,0.55,0.000666666666667,0.0002,-0.000233333333333,7.82444593088,10.3514053249,4.61512051684,0.438254930931,0.0,0.0,0.106265856918,30.6523772957,0.106265856918,0.0464158883361,0.0873580464736,0.0584803547643,-0.0615638250149
